28/10/17,,Lane County Concussion,215,The Skaters Grim,125,T1,90,,,,,,,,,,,,,,,,,
11/11/17,,Nottingham Roller Derby,389,East Anglo Smacksons,78,T1,311,"Not yet sanctioned 2 March, Score sourced from FTS",,,,,,,,,,,,,,,,
11/11/17,,Brisbane City Rollers,225,Varsity Derby League,91,T1,134,"Not yet sanctioned 2 March, Score sourced from FTS",,,,,,,,,,,,,,,,
18/11/17,,New York Shock Exchange,281,Quadfathers Men's Roller Derby,67,T1,214,"Not yet sanctioned 2 March, Score sourced from FTS",,,,,,,,,,,,,,,,
16/12/17,,Nottingham Roller Derby,171,West Swedish Roller Derby Society,141,T1,30,,,,,,,,,,,,,,,,,
16/12/17,,South Wales Silures,85,Panam Squad,332,T1,-247,,,,,,,,,,,,,,,,,
10/02/18,,Crash Test Brummies,61,Tyne and Fear Roller Derby,359,T1,-298,"Not yet sanctioned 2 March, Score sourced from FTS",,,,,,,,,,,,,,,,
10/02/18,,Barrow Infernos,81,Manchester Roller Derby,400,T1,-319,"Not yet sanctioned 2 March, Score sourced from FTS",,,,,,,,,,,,,,,,
10/02/18,C-Cup,Casco Bay Gentlemen's Derby,106,Atlanta Men's Roller Derby,232,T1,-126,"Not yet sanctioned 2 March, Score sourced from FTS",,,,,,,,,,,,,,,,
10/02/18,C-Cup,Collision Men's Derby,34,Magic City Misfits,548,T1,-514,"Not yet sanctioned 2 March, Score sourced from FTS",,,,,,,,,,,,,,,,
10/02/18,C-Cup,Carolina Wreckingballs,101,Magic City Misfits,324,T1,-223,"Not yet sanctioned 2 March, Score sourced from FTS",,,,,,,,,,,,,,,,
10/02/18,C-Cup,Collision Men's Derby,135,Atlanta Men's Roller Derby,248,T1,-113,"Not yet sanctioned 2 March, Score sourced from FTS",,,,,,,,,,,,,,,,
10/02/18,C-Cup,Casco Bay Gentlemen's Derby,55,Carolina Wreckingballs,344,T1,-289,"Not yet sanctioned 2 March, Score sourced from FTS",,,,,,,,,,,,,,,,
3/03/18,C-Cup,Atlanta Men's Roller Derby,102,Carolina Wreckingballs,247,T1,-145,"Not yet sanctioned 2 March, Score sourced from FB",,,,,,,,,,,,,,,,
10/03/18,,Lane County Concussion,203,Drive-By City Rollers,201,T1,2,,,,,,,,,,,,,,,,,
10/03/18,,Detroit Men's Roller Derby,258,Cleveland Men's Roller Derby,124,T1,134,,,,,,,,,,,,,,,,,
10/03/18,,Bridgetown Roller Derby,388,Drive-By City Rollers,39,T1,349,,,,,,,,,,,,,,,,,
17/03/18,,Barrow Infernos,288,Tyne and Fear Roller Derby,91,T1,197,,,,,,,,,,,,,,,,,
17/03/18,,Southern Discomfort,,Lincolnshire Rolling Thunder,,T1,0,,,,,,,,,,,,,,,,,
23/03/18,,Texas Men's Roller Derby,623,Houston Men's Roller Derby,18,T1,605,,,,,,,,,,,,,,,,,
31/03/18,,Casco Bay Gentlemen's Derby,106,Mass Maelstrom,258,T1,-152,,,,,,,,,,,,,,,,,
7/04/18,,Chicago Bruise Brothers,187,Detroit Men's Roller Derby,115,T1,72,,,,,,,,,,,,,,,,,
14/04/18,April Angst,Magic City Misfits,,Toronto Men's Roller Derby,,T1,0,"Forfeit - Game counted for minimum, but not for rankings.",,,,,,,,,,,,,,,,
14/04/18,April Angst,Puget Sound Outcast Derby,194,Austin Anarchy,184,T1,10,,,,,,,,,,,,,,,,,
14/04/18,April Angst,Philadelphia Hooligans,419,Toronto Men's Roller Derby,67,T1,352,,,,,,,,,,,,,,,,,
14/04/18,April Angst,Puget Sound Outcast Derby,,Magic City Misfits,,T1,0,"Forfeit - Game counted for minimum, but not for rankings.",,,,,,,,,,,,,,,,
14/04/18,,Thunderquads Roller Derby Masculino,141,Panam Squad,145,T1,-4,,,,,,,,,,,,,,,,,
14/04/18,,Derby Club le Cr_s Lattes Montpellier,241,Panam Squad,94,T1,147,,,,,,,,,,,,,,,,,
15/04/18,April Angst,Magic City Misfits,,Philadelphia Hooligans,,T1,0,"Forfeit - Game counted for minimum, but not for rankings.",,,,,,,,,,,,,,,,
15/04/18,April Angst,Austin Anarchy,256,Toronto Men's Roller Derby,107,T1,149,,,,,,,,,,,,,,,,,
15/04/18,April Angst,Puget Sound Outcast Derby,126,Philadelphia Hooligans,252,T1,-126,,,,,,,,,,,,,,,,,
15/04/18,April Angst,Magic City Misfits,,Austin Anarchy,,T1,0,"Forfeit - Game counted for minimum, but not for rankings.",,,,,,,,,,,,,,,,
15/04/18,,Panam Squad,,Thunderquads Roller Derby Masculino,,T1,0,Late,,,,,,,,,,,,,,,,
15/04/18,,Thunderquads Roller Derby Masculino,186,Derby Club le Cr_s Lattes Montpellier,78,T1,108,,,,,,,,,,,,,,,,,
22/04/18,,South Wales Silures,143,Crash Test Brummies,102,T1,41,,,,,,,,,,,,,,,,,
28/04/18,,Atlanta Men's Roller Derby,,Harm City Men's Derby,,T1,0,Late,,,,,,,,,,,,,,,,
28/04/18,,Pittsburgh Blue Streaks,,Flour City Fear Men's Roller Derby,,T1,0,Late,,,,,,,,,,,,,,,,
28/04/18,,Drive-By City Rollers,,Glenmore Reservoir Dogs,,T1,0,Late,,,,,,,,,,,,,,,,
28/04/18,,Puget Sound Outcast Derby,294,Glenmore Reservoir Dogs,170,T1,124,"Late - Sanctioning not complete, scores obtained from FTS",,,,,,,,,,,,,,,,
29/04/18,,Cincinnati Battering Rams,158,Cleveland Men's Roller Derby,108,T1,50,,,,,,,,,,,,,,,,,
29/04/18,,Cincinnati Battering Rams,,Cleveland Men's Roller Derby,,T1,0,"Late - Sanctioning not complete, scores obtained from FTS",,,,,,,,,,,,,,,,
29/04/18,,Drive-By City Rollers,228,Puget Sound Outcast Derby,126,T1,102,Late,,,,,,,,,,,,,,,,
29/04/18,,Drive-By City Rollers,,Glenmore Reservoir Dogs,,T1,0,Late,,,,,,,,,,,,,,,,
4/05/18,Big-O,Denver Ground Control,287,Wheels of Mayhem,58,T1,229,,,,,,,,,,,,,,,,,
4/05/18,Big-O,St. Louis Gatekeepers,452,Vancouver Murder,42,T1,410,,,,,,,,,,,,,,,,,
4/05/18,Big-O,Dakota Men's Roller Derby,199,Houston Men's Roller Derby,138,T1,61,,,,,,,,,,,,,,,,,
4/05/18,Big-O,Denver Ground Control,313,Lane County Concussion,125,T1,188,,,,,,,,,,,,,,,,,
4/05/18,Big-O,Wheels of Mayhem,227,Dakota Men's Roller Derby,75,T1,152,,,,,,,,,,,,,,,,,
4/05/18,Big-O,Collision Men's Derby,148,Houston Men's Roller Derby,205,T1,-57,,,,,,,,,,,,,,,,,
4/05/18,,Granite City Brawlers,172,Barrow Infernos,200,T1,-28,,,,,,,,,,,,,,,,,
4/05/18,,Manchester Roller Derby,686,Crash Test Brummies,58,T1,628,,,,,,,,,,,,,,,,,
5/05/18,Big-O,Bridgetown Roller Derby,277,Texas Men's Roller Derby,43,T1,234,,,,,,,,,,,,,,,,,
5/05/18,Big-O,Vancouver Murder,193,Denver Ground Control,190,T1,3,,,,,,,,,,,,,,,,,
5/05/18,Big-O,Wheels of Mayhem,109,Lane County Concussion,171,T1,-62,,,,,,,,,,,,,,,,,
5/05/18,Big-O,St. Louis Gatekeepers,208,Bridgetown Roller Derby,118,T1,90,,,,,,,,,,,,,,,,,
5/05/18,Big-O,Collision Men's Derby,84,Texas Men's Roller Derby,457,T1,-373,,,,,,,,,,,,,,,,,
6/05/18,Big-O,Lane County Concussion,397,Dakota Men's Roller Derby,64,T1,333,,,,,,,,,,,,,,,,,
6/05/18,Big-O,Vancouver Murder,216,Texas Men's Roller Derby,194,T1,22,,,,,,,,,,,,,,,,,
6/05/18,Big-O,Bridgetown Roller Derby,288,Denver Ground Control,105,T1,183,,,,,,,,,,,,,,,,,
6/05/18,Big-O,Wheels of Mayhem,152,Collision Men's Derby,181,T1,-29,Forfeit - Game called with 3 minutes remaining as Mayhem ran out of players.,,,,,,,,,,,,,,,,
6/05/18,Big-O,St. Louis Gatekeepers,578,Houston Men's Roller Derby,30,T1,548,,,,,,,,,,,,,,,,,
12/05/18,,Austin Anarchy,234,Drive-By City Rollers,71,T1,163,,,,,,,,,,,,,,,,,
12/05/18,Battle of Bunker Hill 2018,Philadelphia Hooligans,451,Toronto Men's Roller Derby,58,T1,393,,,,,,,,,,,,,,,,,
12/05/18,Battle of Bunker Hill 2018,Mass Maelstrom,146,Quadfathers Men's Roller Derby,287,T1,-141,,,,,,,,,,,,,,,,,
12/05/18,Battle of Bunker Hill 2018,Philadelphia Hooligans,314,Quadfathers Men's Roller Derby,71,T1,243,,,,,,,,,,,,,,,,,
12/05/18,Battle of Bunker Hill 2018,Mass Maelstrom,128,Toronto Men's Roller Derby,214,T1,-86,,,,,,,,,,,,,,,,,
12/05/18,,Cleveland Men's Roller Derby,107,Chicago Bruise Brothers,230,T1,-123,,,,,,,,,,,,,,,,,
12/05/18,,Detroit Men's Roller Derby,,Atlanta Men's Roller Derby,,T1,0,,,,,,,,,,,,,,,,,
12/05/18,,Minnesota Men's Roller Derby,627,Capital City Hooligans,18,T1,609,,,,,,,,,,,,,,,,,
12/05/18,,Capital City Hooligans,32,Oklahoma Men's Roller Derby,472,T1,-440,,,,,,,,,,,,,,,,,
12/05/18,,Minnesota Men's Roller Derby,275,Oklahoma Men's Roller Derby,112,T1,163,,,,,,,,,,,,,,,,,
13/05/18,Battle of Bunker Hill 2018,Philadelphia Hooligans,426,Mass Maelstrom,32,T1,394,,,,,,,,,,,,,,,,,
13/05/18,Battle of Bunker Hill 2018,Toronto Men's Roller Derby,78,Quadfathers Men's Roller Derby,198,T1,-120,,,,,,,,,,,,,,,,,
13/05/18,,Texas Men's Roller Derby,425,Drive-By City Rollers,123,T1,302,,,,,,,,,,,,,,,,,
13/05/18,,Minnesota Men's Roller Derby,146,Oklahoma Men's Roller Derby,172,T1,-26,,,,,,,,,,,,,,,,,
13/05/18,,Oklahoma Men's Roller Derby,78,Capital City Hooligans,0,T1,78,Forfeit?,,,,,,,,,,,,,,,,
